2026-06-02 08:15:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:15:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:16:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:16:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:17:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:17:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:18:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:18:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:19:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:19:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:20:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:20:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:21:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:21:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:22:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:22:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:23:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:23:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:24:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:24:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:25:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:25:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:26:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:26:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:27:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:27:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:28:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:28:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:29:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:29:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:30:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:30:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:31:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:31:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:32:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:32:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:33:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:33:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:34:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:34:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:35:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:35:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:36:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:36:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:37:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:37:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:38:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:38:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:39:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:39:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:40:26 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:40:56 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:41:27 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:41:57 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
2026-06-02 08:42:58 | DEBUG    | admin        | CLAIMS-SERVICE  | Polling de notificaciones: admin (ROL_0001)
